,lon,lat,dep,mag,otime,atime,aphase,dist,start_file,end_file
78,-148.7601,63.2419,1.2,3.0,2016-09-30T00:00:55.000000Z,2016-09-30T00:01:25.770899Z,P,1.7010358465600002,201609292351257708,201609300016257708
539,-149.6214,63.3835,102.4,2.1,2016-09-01T05:56:05.000000Z,2016-09-01T05:56:34.035426Z,p,1.71673701454,20160901054634354,20160901061134354
27,-150.7574,63.5833,10.2,3.6,2016-09-05T06:37:39.000000Z,2016-09-05T06:38:10.899621Z,P,1.86163068925,201609050628108996,201609050653108996
130,-148.7959,63.0535,69.4,2.7,2016-09-30T09:43:46.000000Z,2016-09-30T09:44:16.084733Z,p,1.88709990227,20160930093416847,20160930095916847
157,-150.7849,63.5509,10.5,2.6,2016-09-05T06:41:42.000000Z,2016-09-05T06:42:14.299619Z,P,1.89333019253,201609050632142996,201609050657142996
216,-151.8888,65.5916,18.0,2.5,2016-08-23T13:28:30.000000Z,2016-08-23T13:29:01.565799Z,P,1.9053217588299998,201608231319015657,201608231344015657
83,-146.4605,63.0392,41.1,2.9,2016-09-21T01:01:35.000000Z,2016-09-21T01:02:05.053126Z,p,1.9115534699799999,20160921005205531,20160921011705531
226,-151.9317,65.566,18.2,2.4,2016-09-03T07:13:15.000000Z,2016-09-03T07:13:46.652922Z,P,1.9133979742400002,201609030703466529,201609030728466529
22,-149.0975,63.0611,74.4,3.7,2016-10-01T02:41:44.000000Z,2016-10-01T02:42:14.629532Z,p,1.91865287443,201610010232146295,201610010257146295
450,-149.172,63.0665,100.0,2.1,2016-08-19T08:19:14.000000Z,2016-08-19T08:19:45.566237Z,p,1.924442315,201608190809455662,201608190834455662
452,-149.172,63.0665,50.0,2.1,2016-08-15T04:36:49.000000Z,2016-08-15T04:37:19.281484Z,p,1.924442315,201608150427192814,201608150452192814
507,-148.7633,62.9673,68.4,2.1,2016-07-29T11:04:22.000000Z,2016-07-29T11:04:53.139231Z,p,1.96708831738,201607291054531392,201607291119531392
253,-147.1441,66.8749,16.7,2.4,2016-08-29T19:12:37.000000Z,2016-08-29T19:13:10.179585Z,P,2.01134073403,201608291903101795,201608291928101795
417,-150.4674,63.2443,122.3,2.2,2016-09-01T05:36:04.000000Z,2016-09-01T05:36:38.012214Z,p,2.03768908507,20160901052638122,20160901055138122
233,-149.5326,63.0034,78.3,2.4,2016-09-17T14:40:44.000000Z,2016-09-17T14:41:16.378944Z,p,2.04207561008,201609171431163789,201609171456163789
358,-150.5304,63.2558,134.1,2.2,2016-08-30T18:16:36.000000Z,2016-08-30T18:17:10.710983Z,p,2.04504673665,201608301807107109,201608301832107109
556,-150.5839,63.271,133.7,2.1,2016-08-28T07:17:13.000000Z,2016-08-28T07:17:47.716541Z,p,2.04726881074,201608280707477165,201608280732477165
505,-150.4608,63.2042,119.6,2.1,2016-10-03T20:31:44.000000Z,2016-10-03T20:32:18.267747Z,p,2.06872282017,201610032022182677,201610032047182677
194,-150.4161,63.1804,111.0,2.5,2016-09-04T00:26:44.000000Z,2016-09-04T00:27:17.979337Z,p,2.07692059556,201609040017179793,201609040042179793
282,-151.1234,66.3966,4.9,2.3,2016-09-23T10:36:51.000000Z,2016-09-23T10:37:26.577507Z,P,2.08282043405,201609231027265775,201609231052265775
221,-150.5829,63.2219,127.6,2.5,2016-08-23T11:34:29.000000Z,2016-08-23T11:35:03.878995Z,p,2.0863617793700002,201608231125038789,201608231150038789
500,-150.9967,63.3062,18.7,2.1,2016-09-09T18:38:30.000000Z,2016-09-09T18:39:04.673307Z,P,2.13736960387,201609091829046733,201609091854046733
276,-149.5402,62.8905,78.3,2.3,2016-08-08T14:26:06.000000Z,2016-08-08T14:26:39.793785Z,p,2.14791590746,201608081416397937,201608081441397937
547,-150.4269,63.0553,113.2,2.1,2016-08-30T12:17:43.000000Z,2016-08-30T12:18:18.441166Z,p,2.18425301209,201608301208184411,201608301233184411
210,-148.9604,62.75,66.9,2.5,2016-08-21T17:48:22.000000Z,2016-08-21T17:48:56.254425Z,p,2.19969353116,201608211738562544,201608211803562544
550,-151.1799,63.2869,3.5,2.1,2016-09-02T22:57:30.000000Z,2016-09-02T22:58:07.449016Z,P,2.20668186601,201609022248074490,201609022313074490
364,-144.5672,63.1339,0.9,2.2,2016-09-25T08:30:53.000000Z,2016-09-25T08:31:30.803787Z,P,2.2097772291,201609250821308037,201609250846308037
207,-150.1864,62.9412,100.0,2.5,2016-08-17T12:08:50.000000Z,2016-08-17T12:09:25.487940Z,p,2.22719329349,201608171159254879,201608171224254879
441,-151.504,63.3847,6.0,2.1,2016-09-27T23:15:43.000000Z,2016-09-27T23:16:20.591469Z,P,2.2388587266499997,201609272306205914,201609272331205914
115,-150.9305,63.1233,128.3,2.8,2016-07-29T00:57:05.000000Z,2016-07-29T00:57:42.065359Z,p,2.2595517236,20160729004742653,20160729011242653
110,-150.4678,62.9727,101.2,2.8,2016-09-05T02:09:02.000000Z,2016-09-05T02:09:38.012136Z,p,2.264148417,20160905015938121,20160905022438121
299,-150.9096,63.1072,126.5,2.3,2016-08-13T21:39:00.000000Z,2016-08-13T21:39:37.070280Z,p,2.26656599462,20160813212937702,20160813215437702
262,-149.7069,62.7662,76.5,2.4,2016-09-17T02:54:52.000000Z,2016-09-17T02:55:27.681250Z,p,2.29164077561,201609170245276812,201609170310276812
357,-146.8771,67.14699999999999,5.0,2.2,2016-08-14T10:51:00.000000Z,2016-08-14T10:51:38.479333Z,P,2.2946915565599997,201608141041384793,201608141106384793
237,-151.558,63.3231,13.4,2.4,2016-09-20T08:30:45.000000Z,2016-09-20T08:31:22.530817Z,P,2.29898002509,201609200821225308,201609200846225308
148,-150.9693,63.0697,127.6,2.6,2016-09-24T03:18:39.000000Z,2016-09-24T03:19:16.700828Z,p,2.31277141875,201609240309167008,201609240334167008
465,-150.7953,62.9914,100.0,2.1,2016-08-25T22:40:41.000000Z,2016-08-25T22:41:17.831143Z,p,2.32983973042,201608252231178311,201608252256178311
347,-150.7953,62.9914,100.0,2.2,2016-08-25T16:35:46.000000Z,2016-08-25T16:36:22.831143Z,p,2.32983973042,201608251626228311,201608251651228311
260,-150.7953,62.9914,100.0,2.4,2016-08-10T15:46:33.000000Z,2016-08-10T15:47:09.831143Z,p,2.32983973042,201608101537098311,201608101602098311
95,-150.7953,62.9914,100.0,2.9,2016-08-26T16:16:22.000000Z,2016-08-26T16:16:58.831143Z,p,2.32983973042,201608261606588311,201608261631588311
134,-150.9514,63.0166,116.1,2.7,2016-09-01T01:18:58.000000Z,2016-09-01T01:19:35.688020Z,p,2.3504555960199998,201609010109356880,201609010134356880
286,-149.1818,62.6024,52.7,2.3,2016-09-25T02:24:26.000000Z,2016-09-25T02:25:02.382474Z,p,2.36862374933,201609250215023824,201609250240023824
438,-150.4737,62.8456,81.2,2.1,2016-09-28T07:32:24.000000Z,2016-09-28T07:33:00.900814Z,p,2.37468350351,201609280723009008,201609280748009008
309,-149.366,62.6123,50.0,2.3,2016-08-22T17:48:19.000000Z,2016-08-22T17:48:55.566321Z,p,2.3833843535900003,201608221738555663,201608221803555663
285,-151.5787,63.2083,0.0,2.3,2016-08-29T20:01:58.000000Z,2016-08-29T20:02:38.347594Z,P,2.38688441436,201608291952383475,201608292017383475
554,-144.8512,62.8173,1.3,2.1,2016-08-28T16:39:56.000000Z,2016-08-28T16:40:36.428259Z,P,2.40410380942,201608281630364282,201608281655364282
215,-143.5324,63.2295,4.0,2.5,2016-08-23T00:21:01.000000Z,2016-08-23T00:21:41.690957Z,P,2.4467795033099997,201608230011416909,201608230036416909
259,-150.793,62.8472,87.1,2.4,2016-08-07T15:22:21.000000Z,2016-08-07T15:22:59.039419Z,p,2.44924110565,20160807151259394,20160807153759394
468,-151.4062,63.0389,15.0,2.1,2016-08-15T08:07:47.000000Z,2016-08-15T08:08:26.560962Z,P,2.46054530411,201608150758265609,201608150823265609
252,-152.7328,63.7348,21.0,2.4,2016-08-29T20:20:49.000000Z,2016-08-29T20:21:28.021636Z,P,2.4714909006599997,20160829201128216,20160829203628216
532,-151.4882,63.0521,7.3,2.1,2016-08-30T00:51:25.000000Z,2016-08-30T00:52:05.677942Z,P,2.47463158634,201608300042056779,201608300107056779
531,-151.0417,62.8727,0.0,2.1,2016-08-21T06:56:36.000000Z,2016-08-21T06:57:17.783873Z,P,2.49132252394,201608210647177838,201608210712177838
251,-143.4795,63.1886,7.3,2.4,2016-08-23T16:26:20.000000Z,2016-08-23T16:27:00.922336Z,P,2.49240280664,201608231617009223,201608231642009223
21,-151.5535,63.0521,10.3,3.7,2016-08-29T04:25:53.000000Z,2016-08-29T04:26:33.585584Z,P,2.49408278132,201608290416335855,201608290441335855
378,-143.6665,63.1019,15.0,2.2,2016-08-24T09:48:18.000000Z,2016-08-24T09:48:58.042353Z,P,2.49555030787,20160824093858423,20160824100358423
177,-151.5678,63.0314,10.5,2.6,2016-07-29T10:01:26.000000Z,2016-07-29T10:02:06.834481Z,P,2.51392564895,201607290952068344,201607291017068344
172,-151.2892,62.9154,108.6,2.6,2016-08-13T08:57:54.000000Z,2016-08-13T08:58:33.654044Z,p,2.5235617607900003,201608130848336540,201608130913336540
45,-151.3321,62.9293,110.8,3.2,2016-08-20T07:58:20.000000Z,2016-08-20T07:58:59.741772Z,p,2.524510315,201608200748597417,201608200813597417
247,-148.0748,62.3495,29.5,2.4,2016-09-30T00:01:12.000000Z,2016-09-30T00:01:51.081406Z,P,2.53198544408,20160929235151814,20160930001651814
211,-152.019,63.0838,100.0,2.5,2016-08-19T23:02:26.000000Z,2016-08-19T23:03:06.588949Z,p,2.61501722911,201608192253065889,201608192318065889
381,-149.1563,62.3359,50.0,2.2,2016-08-18T04:18:14.000000Z,2016-08-18T04:18:53.854759Z,p,2.6233140213999997,201608180408538547,201608180433538547
160,-149.4503,62.3114,43.4,2.6,2016-09-12T20:16:16.000000Z,2016-09-12T20:16:56.647983Z,p,2.68259326142,201609122006566479,201609122031566479
317,-151.30700000000002,62.6941,5.0,2.3,2016-08-21T06:56:50.000000Z,2016-08-21T06:57:34.152571Z,P,2.70722440856,201608210647341525,201608210712341525
456,-149.4578,62.2793,40.2,2.1,2016-08-18T04:18:15.000000Z,2016-08-18T04:18:56.083020Z,P,2.7143840031599997,20160818040856830,20160818043356830
155,-143.494,62.846000000000004,3.2,2.6,2016-09-27T05:03:00.000000Z,2016-09-27T05:03:44.804313Z,P,2.73890422865,201609270453448043,201609270518448043
249,-150.5235,62.4368,59.4,2.4,2016-08-30T00:53:32.000000Z,2016-08-30T00:54:13.601804Z,p,2.74630181569,201608300044136018,201608300109136018
139,-148.9191,62.1148,4.9,2.7,2016-09-29T06:51:41.000000Z,2016-09-29T06:52:26.656297Z,P,2.8157006196599994,201609290642266562,201609290707266562
97,-149.4625,62.1354,42.5,2.9,2016-09-12T13:26:10.000000Z,2016-09-12T13:26:52.993584Z,p,2.85342809542,201609121316529935,201609121341529935
193,-148.3565,62.0169,19.2,2.5,2016-08-30T17:35:53.000000Z,2016-08-30T17:36:37.750800Z,P,2.87453189009,201608301726377508,201608301751377508
120,-149.5814,62.1135,44.7,2.8,2016-09-15T11:30:19.000000Z,2016-09-15T11:31:02.493615Z,p,2.88969317546,201609151121024936,201609151146024936
474,-149.4024,62.0651,37.7,2.1,2016-08-02T08:45:47.000000Z,2016-08-02T08:46:30.829801Z,P,2.9140391381299997,201608020836308298,201608020901308298
360,-148.8573,62.0021,5.0,2.2,2016-08-13T19:44:04.000000Z,2016-08-13T19:44:51.097087Z,P,2.92134860828,20160813193451970,20160813195951970
169,-151.3537,62.4459,86.9,2.6,2016-08-20T21:28:55.000000Z,2016-08-20T21:29:39.432467Z,p,2.9261144877499996,201608202119394324,201608202144394324
9,-149.3909,62.049,38.2,4.1,2016-08-02T00:25:01.000000Z,2016-08-02T00:25:45.024629Z,P,2.92827518418,20160802001545246,20160802004045246
202,-149.1384,62.0202,33.9,2.5,2016-08-08T23:23:23.000000Z,2016-08-08T23:24:07.141234Z,P,2.92896416514,201608082314071412,201608082339071412
105,-143.1224,67.1566,5.0,2.8,2016-08-24T21:19:17.000000Z,2016-08-24T21:20:04.293253Z,P,2.9356137369999997,201608242110042932,201608242135042932
64,-143.1224,67.1566,5.0,3.1,2016-08-25T23:19:25.000000Z,2016-08-25T23:20:12.293253Z,P,2.9356137369999997,201608252310122932,201608252335122932
82,-151.05700000000002,62.3424,77.6,2.9,2016-10-02T23:08:02.000000Z,2016-10-02T23:08:46.523716Z,p,2.94482275594,201610022258465237,201610022323465237
228,-150.2947,62.1605,47.8,2.4,2016-09-19T09:39:07.000000Z,2016-09-19T09:39:51.397285Z,p,2.95509146735,201609190929513972,201609190954513972
413,-142.9946,67.1503,5.0,2.2,2016-08-24T22:43:09.000000Z,2016-08-24T22:43:56.681420Z,P,2.9638415413300003,201608242233566814,201608242258566814
432,-149.7232,62.0544,47.0,2.2,2016-09-23T17:12:41.000000Z,2016-09-23T17:13:25.536395Z,p,2.9653637440400002,201609231703255363,201609231728255363
76,-143.1061,67.2062,5.0,3.0,2016-08-24T15:03:40.000000Z,2016-08-24T15:04:27.865896Z,P,2.97725701922,201608241454278658,201608241519278658
320,-152.0622,62.5852,5.0,2.3,2016-08-19T09:15:35.000000Z,2016-08-19T09:16:23.200375Z,P,3.0015810692100002,201608190906232003,201608190931232003
449,-142.9781,67.1998,5.0,2.1,2016-08-24T11:20:43.000000Z,2016-08-24T11:21:31.247595Z,P,3.0050150022500004,201608241111312475,201608241136312475
103,-142.9781,67.1998,5.0,2.8,2016-08-24T11:13:50.000000Z,2016-08-24T11:14:38.247595Z,P,3.0050150022500004,201608241104382475,201608241129382475
170,-147.1961,61.8775,15.0,2.6,2016-08-22T10:26:09.000000Z,2016-08-22T10:26:56.052003Z,P,3.00529223182,20160822101656520,20160822104156520
350,-147.0402,61.8704,30.3,2.2,2016-09-11T14:58:24.000000Z,2016-09-11T14:59:09.693619Z,P,3.01812350764,201609111449096936,201609111514096936
20,-142.9896,67.2292,11.4,3.8,2016-08-24T11:08:36.000000Z,2016-08-24T11:09:23.743021Z,P,3.02416118978,201608241059237430,201608241124237430
272,-143.9554,67.5106,22.4,2.4,2016-09-06T22:16:52.000000Z,2016-09-06T22:17:38.595850Z,P,3.03155451837,201609062207385958,201609062232385958
392,-151.7036,62.4078,89.0,2.2,2016-09-14T04:49:17.000000Z,2016-09-14T04:50:03.096897Z,p,3.0467303293700003,20160914044003968,20160914050503968
402,-151.319,62.2662,50.0,2.2,2016-08-05T16:38:21.000000Z,2016-08-05T16:39:06.998644Z,p,3.07138585918,201608051629069986,201608051654069986
273,-143.953,67.56,8.2,2.3,2016-09-12T07:04:41.000000Z,2016-09-12T07:05:29.816436Z,P,3.0743107527399998,201609120655298164,201609120720298164
248,-150.5522,62.0777,0.2,2.4,2016-08-30T01:13:44.000000Z,2016-08-30T01:14:33.828268Z,P,3.07804682423,201608300104338282,201608300129338282
257,-150.533,62.049,5.0,2.4,2016-08-26T10:58:41.000000Z,2016-08-26T10:59:30.565717Z,P,3.10087310638,201608261049305657,201608261114305657
190,-150.0608,61.9472,9.6,2.5,2016-08-04T23:05:35.000000Z,2016-08-04T23:06:24.227003Z,P,3.1163832135000002,201608042256242270,201608042321242270
199,-149.9171,61.8925,50.0,2.5,2016-08-09T04:32:58.000000Z,2016-08-09T04:33:45.036654Z,p,3.1470705514599997,20160809042345366,20160809044845366
489,-147.741,61.7225,22.2,2.1,2016-08-04T14:51:51.000000Z,2016-08-04T14:52:39.281819Z,P,3.1528467131999998,201608041442392818,201608041507392818
185,-151.2054,62.1415,84.1,2.5,2016-09-07T12:59:54.000000Z,2016-09-07T13:00:41.460066Z,p,3.1541782320099996,201609071250414600,201609071315414600
366,-147.355,61.7173,24.6,2.2,2016-09-11T02:22:23.000000Z,2016-09-11T02:23:11.177458Z,P,3.1611251947600003,201609110213111774,201609110238111774
318,-153.1277,67.1407,0.1,2.3,2016-10-01T16:37:59.000000Z,2016-10-01T16:38:50.080883Z,P,3.1682678913999998,20161001162850808,20161001165350808
143,-147.6499,61.685,30.0,2.7,2016-09-11T01:19:42.000000Z,2016-09-11T01:20:30.087085Z,P,3.1902171446499996,20160911011030870,20160911013530870
162,-151.6705,62.167,87.9,2.6,2016-08-04T15:17:15.000000Z,2016-08-04T15:18:03.692133Z,p,3.2406876642299998,201608041508036921,201608041533036921
555,-150.3659,61.8663,16.9,2.1,2016-08-29T12:06:50.000000Z,2016-08-29T12:07:40.068521Z,P,3.24122916338,20160829115740685,20160829122240685
496,-149.6528,61.7555,45.0,2.1,2016-08-06T17:34:21.000000Z,2016-08-06T17:35:09.351769Z,p,3.2434963272900004,201608061725093517,201608061750093517
291,-155.1608,65.7434,8.7,2.3,2016-07-31T22:54:23.000000Z,2016-07-31T22:55:14.086592Z,P,3.2437716318700005,20160731224514865,20160731231014865
93,-155.197,65.7495,6.7,2.9,2016-09-24T15:16:07.000000Z,2016-09-24T15:16:58.544081Z,P,3.25958994232,201609241506585440,201609241531585440
341,-146.6199,61.6374,0.0,2.3,2016-09-22T21:11:53.000000Z,2016-09-22T21:12:45.521893Z,P,3.2721918485900003,201609222102455218,201609222127455218
265,-155.2554,65.7677,6.6,2.4,2016-09-06T11:43:04.000000Z,2016-09-06T11:43:55.931195Z,P,3.28687076088,201609061133559311,201609061158559311
5,-146.3339,61.6036,23.3,4.2,2016-08-19T17:36:28.000000Z,2016-08-19T17:37:18.569750Z,P,3.32652123759,201608191727185697,201608191752185697
91,-146.3745,61.5958,24.4,2.9,2016-09-11T07:44:59.000000Z,2016-09-11T07:45:49.530775Z,P,3.33095952213,201609110735495307,201609110800495307
385,-147.2567,61.5336,9.4,2.2,2016-09-22T21:12:00.000000Z,2016-09-22T21:12:52.419955Z,P,3.3468518675,201609222102524199,201609222127524199
30,-146.4273,61.5721,37.9,3.5,2016-09-10T12:05:12.000000Z,2016-09-10T12:06:01.825776Z,P,3.3502820533599995,201609101156018257,201609101221018257
147,-140.60399999999998,66.546,5.0,2.6,2016-08-25T08:54:44.750000Z,2016-08-25T08:55:37.754690Z,P,3.35097614214,201608250845377546,201608250910377546
192,-155.5929,65.2446,0.7,2.5,2016-10-03T10:35:16.000000Z,2016-10-03T10:36:09.612359Z,P,3.35761425676,201610031026096123,201610031051096123
68,-152.1156,62.1575,104.2,3.0,2016-09-02T14:10:23.000000Z,2016-09-02T14:11:13.633070Z,p,3.3614384084099997,201609021401136330,201609021426136330
515,-152.1379,62.1507,106.9,2.1,2016-09-13T03:22:52.000000Z,2016-09-13T03:23:42.846484Z,p,3.3729130162700005,201609130313428464,201609130338428464
414,-147.6694,61.4996,9.3,2.2,2016-09-01T06:03:19.000000Z,2016-09-01T06:04:11.827235Z,P,3.3756004335900003,201609010554118272,201609010619118272
154,-150.7656,61.7865,70.3,2.6,2016-09-04T08:54:54.000000Z,2016-09-04T08:55:44.421455Z,p,3.38528955224,201609040845444214,201609040910444214
436,-146.436,61.5316,15.0,2.1,2016-08-24T03:43:57.000000Z,2016-08-24T03:44:49.336712Z,P,3.38963432412,201608240334493367,201608240359493367
348,-146.436,61.5316,50.0,2.2,2016-08-15T00:07:35.000000Z,2016-08-15T00:08:25.363690Z,p,3.38963432412,201608142358253636,201608150023253636
279,-151.1656,61.8528,69.4,2.3,2016-08-03T01:24:56.000000Z,2016-08-03T01:25:46.650535Z,p,3.4027066442100002,201608030115466505,201608030140466505
524,-149.7155,61.5858,33.2,2.1,2016-09-11T08:18:22.000000Z,2016-09-11T08:19:12.889429Z,P,3.4151492783,201609110809128894,201609110834128894
213,-150.6801,61.736000000000004,5.2,2.5,2016-08-21T03:04:43.000000Z,2016-08-21T03:05:36.882708Z,P,3.4165795485799997,201608210255368827,201608210320368827
266,-150.7926,61.7453,69.1,2.4,2016-08-03T16:15:49.000000Z,2016-08-03T16:16:39.995787Z,p,3.42822178011,201608031606399957,201608031631399957
230,-150.5532,61.6868,56.4,2.4,2016-08-12T16:22:01.000000Z,2016-08-12T16:22:52.080625Z,p,3.44046526455,20160812161252806,20160812163752806
337,-150.8713,61.731,63.0,2.3,2016-09-29T08:35:34.000000Z,2016-09-29T08:36:25.326991Z,p,3.45591254303,201609290826253269,201609290851253269
124,-149.8915,61.5563,54.3,2.7,2016-10-03T01:48:40.000000Z,2016-10-03T01:49:31.417338Z,p,3.46564609083,201610030139314173,201610030204314173
117,-143.4948,61.9364,15.0,2.8,2016-08-22T03:17:55.000000Z,2016-08-22T03:18:48.606563Z,P,3.4819924114300003,201608220308486065,201608220333486065
182,-149.7476,61.4989,40.2,2.5,2016-08-07T03:07:12.000000Z,2016-08-07T03:08:03.920898Z,P,3.5030937345999997,201608070258039208,201608070323039208
187,-147.5236,61.3684,5.0,2.5,2016-09-22T00:25:55.000000Z,2016-09-22T00:26:50.156130Z,P,3.50744955985,201609220016501561,201609220041501561
328,-146.7737,61.3615,19.7,2.3,2016-07-31T04:23:37.000000Z,2016-07-31T04:24:30.800663Z,P,3.53706647252,201607310414308006,201607310439308006
517,-149.9112,61.4833,35.8,2.1,2016-09-10T08:18:09.000000Z,2016-09-10T08:19:01.418802Z,P,3.53846849367,201609100809014188,201609100834014188
461,-151.4605,61.7665,50.0,2.1,2016-08-19T18:49:26.000000Z,2016-08-19T18:50:18.453513Z,p,3.54198403885,201608191840184535,201608191905184535
